RU;28;181;TransparentCalls;0.94;310;68;11
US;45;328;E-Voice;0.88;27;63;51
GB;31;747;TransparentCalls;0.79;752;7;14
FR;74;1895;TransparentCalls;0.91;496;21;25
BL;4;1212;E-Voice;0.65;529;47;38
AT;65;714;TransparentCalls;0.63;375;7;39
BG;11;199;E-Voice;0.90;370;15;53
DK;67;1569;JustPhone;0.61;494;75;55
CA;74;1369;JustPhone;0.79;875;4;42
ES;96;729;E-Voice;0.93;670;14;8
H83316JustPhone;0.77;415;0;41
TR;2;934;TransparentCalls;0.97;647;21;59
PE;70;129;JustPhone;0.70;188;86;32
NZ;1;151;JustPhone;0.68;270;29;36
MC;32;1228;E-Voice;0.62;919;69;54
